"title_name","title_url","title_price","title_title","title_location","title_message","title_pic"
"SOFA, SOFABED, SECTIONALS ! DINING! COFFEE TABLE & MORE","https://www.kijiji.ca/v-couch-futon/city-of-toronto/sofa-sofabed-sectionals-dining-coffee-table-more/1513215739","$399","SOFA, SOFABED, SECTIONALS ! DINING! COFFEE TABLE & MORE","1410 Victoria Park Ave, Unit #3, North York, ON, M4A 2L8","Send message",""
"Kitchen table set","https://www.kijiji.ca/v-dining-table-set/markham-york-region/kitchen-table-set/1621444422","$350","Kitchen table set","Markham, ON L3S 3V2","Send message",""
"★NEW Desk Converter, Sit Stand WFH Desk Riser,Height Adjustable★","https://www.kijiji.ca/v-buy-sell-desks/city-of-toronto/new-desk-converter-sit-stand-wfh-desk-riser-height-adjustable/1622489732","$250","★NEW Desk Converter, Sit Stand WFH Desk Riser,Height Adjustable★","Milner Ave, Scarborough, ON","Send message",""
"MATTRESS SALE! PILLOWS,BEDS DOUBLE QUEEN KING STARTS FROM $ 9.99","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/mattress-sale-pillows-beds-double-queen-king-starts-from-9-99/1505815149","$9.99","MATTRESS SALE! PILLOWS,BEDS DOUBLE QUEEN KING STARTS FROM $ 9.99","1410 Victoria Park Ave, Unit #3, North York, ON, M4A 2L8","Send message",""
"BEDS ,BEDROOM SETS , DAYBED, BUNKBEDS ON SALE!!! FROM $199","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/beds-bedroom-sets-daybed-bunkbeds-on-sale-from-199/1510924725","$199","BEDS ,BEDROOM SETS , DAYBED, BUNKBEDS ON SALE!!! FROM $199","1410 Victoria Park Ave, Unit #3, North York, ON, M4A 2L8","Send message",""
"Vintage Dresser / Table - Early 1930's","https://www.kijiji.ca/v-coffee-table-ottoman/city-of-toronto/vintage-dresser-table-early-1930s/1622547167","$30","Vintage Dresser / Table - Early 1930's","65 Treverton Dr, Scarborough, ON M1K 3S5, Canada","Send message",""
"Rocking chair with ottoman.","https://www.kijiji.ca/v-chair-recliner/city-of-toronto/rocking-chair-with-ottoman/1622546986","$120","Rocking chair with ottoman.","Ellesmere Rd & Warden Ave., Toronto, ON M1R, Canada","Send message",""
"Dining Table and Chairs","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/dining-table-and-chairs/1622546034","$320","Dining Table and Chairs","Scarborough, ON M1B 1Y9","Send message",""
"IKEA brusali under-bed drawers with wheels for Double bed","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/ikea-brusali-under-bed-drawers-with-wheels-for-double-bed/1622545739","$45","IKEA brusali under-bed drawers with wheels for Double bed","North York, ON M2J 3N3","Send message",""
"Table for sale","https://www.kijiji.ca/v-furniture-other-table/city-of-toronto/table-for-sale/1622545436","$20","Table for sale","North York, ON M2J 3N3","Send message",""
"Weekend sale on beds!! starting $229. Available in different sizes. Hurry up!! visit us 5781 Steeles ave west, Toronto","https://www.kijiji.ca/v-bed-mattress/gta-greater-toronto-area/weekend-sale-on-beds-starting-229-available-in-different-sizes-hurry-up-visit-us-5781-steeles-ave-west-toronto/cas_20260388","$229","Weekend sale on beds!! starting $229. Available in different sizes. Hurry up!! visit us 5781 Steeles ave west, Toronto","5781 Steeles Ave W, North York, ON M9L 2W3, Canada","Send message",""
"Coffee Table and End Tables","https://www.kijiji.ca/v-coffee-table-ottoman/city-of-toronto/coffee-table-and-end-tables/1622545198","$1,100","Coffee Table and End Tables","Scarborough, ON M1B 1Y9","",""
"Solid wood table set","https://www.kijiji.ca/v-furniture-other-table/city-of-toronto/solid-wood-table-set/1622545047","$150","Solid wood table set","North York, ON M2J 3N3","Send message",""
"Single metal bed frame with skid","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/single-metal-bed-frame-with-skid/1622544593","$90","Single metal bed frame with skid","North York, ON M2J 3N3","Send message",""
"End Table Set of 2","https://www.kijiji.ca/v-furniture-other-table/city-of-toronto/end-table-set-of-2/1622544334","$400","End Table Set of 2","Scarborough, ON M1B 1Y9","Send message",""
"TV stand","https://www.kijiji.ca/v-tv-table-entertainment-unit/city-of-toronto/tv-stand/1622543836","$650","TV stand","Scarborough, ON M1B 1Y9","Send message",""
"*URGENT SALE* 4 Leather Chairs","https://www.kijiji.ca/v-chair-recliner/city-of-toronto/urgent-sale-4-leather-chairs/1622543619","$280","*URGENT SALE* 4 Leather Chairs","Scarborough, ON M1R 1S4","Send message",""
"Nightingale Guest Chairs on Wheels – Red","https://www.kijiji.ca/v-chair-recliner/city-of-toronto/nightingale-guest-chairs-on-wheels-red/cas_14376362","$49","Nightingale Guest Chairs on Wheels – Red","1235 Journey's End Cir #4, Newmarket, ON L3Y 8T7, Canada","Send message",""
"Pier1 solid wood Dining Table with 4 Chairs.","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/pier1-solid-wood-dining-table-with-4-chairs/1622543500","$200","Pier1 solid wood Dining Table with 4 Chairs.","St Clair Ave E, Toronto, ON M4B 1N4, Canada","Send message",""
"Dining Table and Chairs","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/dining-table-and-chairs/1622543144","$1,600","Dining Table and Chairs","Scarborough, ON M1B 1Y9","Send message",""
"3 Dining Chairs-Solid Wood n Sturdy 3 for $30","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/3-dining-chairs-solid-wood-n-sturdy-3-for-30/1622542812","$10","3 Dining Chairs-Solid Wood n Sturdy 3 for $30","Toronto, ON M4B1N7","Send message",""
"3-Seater Fabric Sofa","https://www.kijiji.ca/v-couch-futon/city-of-toronto/3-seater-fabric-sofa/1622542764","$725","3-Seater Fabric Sofa","Scarborough, ON M1B 1Y9","Send message",""
"Old ""Buffalo Luggage"" Trunk 30""x 23""x20""","https://www.kijiji.ca/v-dresser-wardrobe/city-of-toronto/old-buffalo-luggage-trunk-30-x-23-x20/1622542590","$97","Old ""Buffalo Luggage"" Trunk 30""x 23""x20""","Toronto, ON M4B1N7","Send message",""
"Ikea Dining Room Set","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/ikea-dining-room-set/1622542388","$225","Ikea Dining Room Set","Toronto, ON M4B1N7","Send message",""
"Black IKEA MALM Underbed Storage Drawers (One Pair)","https://www.kijiji.ca/v-dresser-wardrobe/city-of-toronto/black-ikea-malm-underbed-storage-drawers-one-pair/1622542252","$50","Black IKEA MALM Underbed Storage Drawers (One Pair)","North York, ON M2J","Send message",""
"2 night table $100 each and dresser with mirror $600","https://www.kijiji.ca/v-dresser-wardrobe/city-of-toronto/2-night-table-100-each-and-dresser-with-mirror-600/1622541930","$100","2 night table $100 each and dresser with mirror $600","Toronto, ON M2J3J3","Send message",""
"3 piece set $850","https://www.kijiji.ca/v-couch-futon/city-of-toronto/3-piece-set-850/1622541505","$850","3 piece set $850","Toronto, ON M2J3J3","Send message",""
"2 Wooden corner tables","https://www.kijiji.ca/v-furniture-other-table/city-of-toronto/2-wooden-corner-tables/1622541499","$100","2 Wooden corner tables","8 Chatsmere Pl, Scarborough, ON M1H 2G9, Canada","Send message",""
"Vanity","https://www.kijiji.ca/v-hutch-display-cabinet/city-of-toronto/vanity/1622540579","$450","Vanity","Toronto, ON M1P4E5","Send message",""
"MOVING DELIVERY AVAILABLE 647-761-0675","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/moving-delivery-available-647-761-0675/1622540153","$2","MOVING DELIVERY AVAILABLE 647-761-0675","532 Dawes Rd #117, East York, ON M4B 3L2, Canada","Send message",""
"Knoll Dividend Station in Excellent Condition-Call us now!","https://www.kijiji.ca/v-buy-sell-desks/gta-greater-toronto-area/knoll-dividend-station-in-excellent-condition-call-us-now/cas_18871125","$280","Knoll Dividend Station in Excellent Condition-Call us now!","","",""
"Table and chairs","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/table-and-chairs/1622539529","$195","Table and chairs","Scarborough, ON M1W 3E6","Send message",""
"DOUBLE BED – MATTRESS, HEADBOARD – MUST GO!","https://www.kijiji.ca/v-bed-mattress/markham-york-region/double-bed-mattress-headboard-must-go/1622539186","$275","DOUBLE BED – MATTRESS, HEADBOARD – MUST GO!","Pickering, ON L1V 6P9","Send message",""
"# Brand New Mattress for Sale Queen, Double, Single $125 -------","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/brand-new-mattress-for-sale-queen-double-single-125/1622539066","$125","# Brand New Mattress for Sale Queen, Double, Single $125 -------","Scarborough, ON M1H 2A4, Canada","Send message",""
"New 6ft Folding table 40$","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/new-6ft-folding-table-40/1622539037","$40","New 6ft Folding table 40$","Scarborough, ON M1T, Canada","Send message",""
"Drawer Set on sale - 10$","https://www.kijiji.ca/v-other-furniture/city-of-toronto/drawer-set-on-sale-10/1622538761","$10","Drawer Set on sale - 10$","Markham, ON L3S 3C8","Send message",""
"Wooden twin bed","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/wooden-twin-bed/1622537482","$125","Wooden twin bed","1 Lee Centre Dr, Scarborough, ON M1H 3J2, Canada","Send message",""
"TORONTO MATTRESS - QUEEN SIZE 2” PILLOW TOP MATTRESS FOR $199 ONLY DELIVERED TO YOUR HOUSE","https://www.kijiji.ca/v-bed-mattress/city-of-toronto/toronto-mattress-queen-size-2-pillow-top-mattress-for-199-only-delivered-to-your-house/cas_5669405","$199","TORONTO MATTRESS - QUEEN SIZE 2” PILLOW TOP MATTRESS FOR $199 ONLY DELIVERED TO YOUR HOUSE","","Send message",""
"Dining room table 8 seat set","https://www.kijiji.ca/v-dining-table-set/city-of-toronto/dining-room-table-8-seat-set/1622536363","$800","Dining room table 8 seat set","Toronto, ON M1C4M8","Send message",""
